amount,duration,rate,down_payment,EMI
30.0,68.0,62.0,48.0,-0.96
74.0,44.0,20.0,90.0,-0.52
13.0,49.0,95.0,24.0,-0.89
39.0,19.0,67.0,12.0,2.34
11.0,62.0,68.0,66.0,-3.22
20.0,4.0,60.0,23.0,-0.85
57.0,99.0,52.0,88.0,-1.36
51.0,35.0,46.0,2.0,2.57
23.0,69.0,71.0,44.0,-1.27
40.0,27.0,35.0,94.0,-2.92
67.0,50.0,1.0,4.0,1.29
5.0,34.0,77.0,81.0,-5.55
8.0,96.0,10.0,84.0,-1.15
65.0,15.0,63.0,49.0,1.57
7.0,25.0,16.0,59.0,-2.46
38.0,82.0,79.0,5.0,2.18
37.0,46.0,34.0,47.0,-0.39
6.0,80.0,58.0,38.0,-1.58
31.0,48.0,36.0,41.0,-0.4
72.0,92.0,89.0,97.0,-1.86
2.0,29.0,15.0,75.0,-3.02
28.0,26.0,28.0,56.0,-1.45
93.0,76.0,78.0,92.0,0.07
33.0,61.0,13.0,96.0,-1.42
75.0,90.0,64.0,80.0,-0.27
