amount;duration;rate;down_payment
96.00;47.00;65.00;44.00
40.00;90.00;0.00;9.00
29.00;48.00;21.00;40.00
57.00;32.00;14.00;2.00
20.00;75.00;59.00;26.00
35.00;64.00;57.00;69.00
19.00;73.00;52.00;60.00
0.00;26.00;53.00;88.00
65.00;99.00;84.00;67.00
89.00;13.00;49.00;73.00
74.00;87.00;90.00;29.00
25.00;56.00;55.00;6.00
28.00;69.00;68.00;12.00
30.00;5.00;79.00;54.00
15.00;79.00;92.00;82.00
92.00;7.00;72.00;96.00
18.00;51.00;91.00;87.00
61.00;97.00;99.00;16.00
44.00;23.00;15.00;94.00
63.00;78.00;10.00;31.00
16.00;60.00;97.00;71.00
54.00;10.00;47.00;95.00
41.00;31.00;83.00;89.00
67.00;6.00;22.00;28.00
58.00;2.00;56.00;81.00
